ADD...	1.63943e+07	3.57797e+07	7.4334e+07
MUL...	7.13914e+07	3.78538e+08	1.45014e+09
DIV....	9.78167e+07	4.84687e+08	2.13099e+09
SHL...	2.52754e+07	7.32713e+07	2.06106e+08
EQ..	7.33777e+06	1.67805e+07	4.75277e+07
LAND...	8.11427e+06	1.53378e+07	3.05722e+07
BMUL..	3.80888e+06	7.64685e+06	1.52736e+07
BMUX...	7.6518e+06	1.52251e+07	3.06907e+07
