
HELI
NOT... 	29593.2	29258.8	29061.8	28945.9	28886.8	28857	28827.9	28799.5	28782.4	28765	28754.2	28742.8	28734.7	28729.9	28724.6	28717.5	28710.8	28710.4	28706.2	28703.7	28701.2	28697.6	28695.3	28694.3	28694.2
AND... 	349188	356350	352062	338341	323956	311609	300185	286650	273720	261912	4.92374e+06	1.30835e+07	1.60185e+07	2.21992e+07	2.41524e+07	2.90906e+07	3.34761e+07	3.45741e+07	3.83821e+07	3.90196e+07	4.20309e+07	4.47673e+07	4.50583e+07	4.76212e+07	4.78277e+07
OR.... 	369410	385858	390068	384209	377703	373084	369515	363983	358982	355015	4.98774e+06	1.30978e+07	1.60356e+07	2.22161e+07	2.4187e+07	2.9121e+07	3.34729e+07	3.4905e+07	3.94569e+07	4.00785e+07	4.30962e+07	4.58676e+07	4.62402e+07	4.89726e+07	4.91203e+07
XOR... 	1495	1425.38	1398.42	1384.31	1399.85	1400.62	1393.04	1386.91	1381.42	1396.4	1392.84	1388.75	1385.31	1382.84	1391.1	1388.36	1386.78	1384.31	1382.01	1389.51	1387.52	1385.36	1384.01	1382.66	1388.82
NAND.. 	406501	399558	376302	354319	333210	310682	290898	1.31964e+07	1.74529e+07	2.60288e+07	3.31197e+07	3.46928e+07	3.99302e+07	4.07434e+07	4.48365e+07	4.85264e+07	4.87402e+07	5.18228e+07	5.1821e+07	5.48262e+07	5.73579e+07	5.71211e+07	5.91071e+07	5.87762e+07	6.10572e+07
NOR... 	525025	516264	486973	459387	432487	403635	378325	1.46801e+07	1.8748e+07	2.71309e+07	3.4052e+07	3.55104e+07	4.07235e+07	4.16832e+07	4.60471e+07	4.96054e+07	4.97221e+07	5.26812e+07	5.26259e+07	5.51394e+07	5.75759e+07	5.74571e+07	6.09874e+07	6.19287e+07	6.53124e+07
XNOR.. 	35232.2	34660.1	34256.8	32991.4	32235.3	31730.8	31372.2	31100.8	30890.2	30723.2	30582.8	30468.9	30371.3	30291	30222.6	30162.4	30108	30057.2	30012.5	29971.7	29935	29902.5	29873.5	29844.9	29820
MUX... 	386460	388580	377247	368205	358555	1.75848e+07	3.79277e+07	3.9617e+07	5.23755e+07	5.74946e+07	6.63973e+07	6.51836e+07	7.36797e+07	7.64348e+07	8.18617e+07	7.99833e+07	8.43597e+07	8.53873e+07	8.90077e+07	8.71411e+07	9.03202e+07	9.09565e+07	9.40841e+07	9.2388e+07	9.49043e+07

