
HELI
NOT... 	1567.75	1567.25	1565.33	1565.19	1565.7	1567.71	1568.57	1568.22	1565.06	1562.75	1559.3	1557.33	1554.71	1552.93	1551.02	1549.81	1549.24	1548.24	1547.18	1546.3	1545.51	1545.44	1544.63	1543.84	1543.15
AND... 	348305	355520	351031	337354	323107	310863	299473	285976	273051	261246	4.83669e+06	1.29622e+07	1.59161e+07	2.22022e+07	2.43988e+07	2.95819e+07	3.38555e+07	3.48162e+07	3.83938e+07	3.90473e+07	4.2082e+07	4.49223e+07	4.54422e+07	4.96555e+07	5.10726e+07
OR.... 	681064	712735	712693	652063	603005	614325	611782	603348	595527	589846	8.17894e+06	1.70003e+07	2.05074e+07	2.67822e+07	2.84174e+07	3.3047e+07	3.71851e+07	3.80139e+07	4.14413e+07	4.19358e+07	4.48199e+07	4.74563e+07	4.76536e+07	4.99832e+07	5.00386e+07
XOR... 	1338	1366	1384.08	1389.44	1387.15	1384.71	1379.18	1376.59	1373.42	1373.22	1370.55	1368.88	1368.54	1367.36	1368.63	1367	1366.32	1366.9	1366.61	1367	1366.43	1366.01	1365.72	1365.27	1365.3
NAND.. 	377347	388142	379852	372308	365849	357949	352368	1.31235e+07	1.73767e+07	2.59135e+07	3.28683e+07	3.4413e+07	3.96657e+07	4.05063e+07	4.46573e+07	4.86088e+07	4.90014e+07	5.20046e+07	5.19725e+07	5.45588e+07	5.68953e+07	5.66632e+07	5.8818e+07	5.86724e+07	6.05698e+07
NOR... 	385584	395041	386333	378588	371799	363788	358144	1.31737e+07	1.74612e+07	2.60083e+07	3.29532e+07	3.47529e+07	4.04709e+07	4.12608e+07	4.53143e+07	4.9169e+07	4.9433e+07	5.23712e+07	5.23189e+07	5.48184e+07	5.71024e+07	5.68584e+07	5.88438e+07	5.85323e+07	6.02888e+07
XNOR.. 	2001.75	1969.5	1954.67	1951.62	1947.4	1944.58	1944.07	1942.38	1940.53	1939.15	1940.34	1940.19	1940.29	1939.62	1939.47	1938.52	1938.19	1938.15	1937.5	1937.04	1937.23	1936.72	1936.52	1937.38	1937.16
MUX... 	383004	385351	372640	363508	353801	1.73842e+07	3.68734e+07	3.86873e+07	5.14702e+07	5.69928e+07	6.68259e+07	6.58687e+07	7.28283e+07	7.49486e+07	8.02557e+07	7.84975e+07	8.28993e+07	8.39673e+07	8.76372e+07	8.5832e+07	8.91583e+07	8.97643e+07	9.25391e+07	9.0829e+07	9.33715e+07

