8192	32768	27788.2	27753.2	27787	27745	27771.8	27803	27731.2	27813	27721.2	27780.2	27783.2	27761.2	27774.2	27743.8	27764.5	27806.2	26636.6	27779.2	27745.2	27783.8
8192	65536	27760.5	27777.2	27757	27758.5	27765	27804	27733.5	27787.5	27726.5	27796.5	27764.8	27744.8	27777.2	27777.8	27759.5	27816	27731.8	27793.5	27706.5	27789
16384	2	107140	107279	107500	107408	107985	106766	107791	107597	108531	107365	107089	107344	107368	107701	107364	107056	107827	107055	107838	107507
16384	4	107745	107690	107981	107827	107510	107561	107672	107248	108617	107432	108355	107484	107506	107789	107666	107719	108506	107342	108435	107743
16384	8	107833	108127	107872	108297	108349	108190	108364	107684	107470	108065	107376	107661	107661	107951	108194	107761	107850	108082	107843	107706
16384	16	108295	108266	108504	109459	108166	108557	108452	108508	108728	108671	108627	108608	108858	108136	108109	108488	108117	108571	108176	109055
16384	32	108643	108015	108998	108423	108164	108534	108651	108344	108124	108205	108939	108368	108449	108561	108703	108493	108093	108369	108706	108078
16384	64	109074	108457	109097	109201	109585	108589	108981	109330	109936	108919	109092	109160	108999	109032	108900	108591	109113	108918	109120	108582
16384	128	109067	109177	109513	109364	109216	109481	109069	109485	109013	109061	108942	109582	109803	108983	110537	110088	109554	109600	109474	110221
16384	256	109975	110318	110131	110075	109953	110639	110631	110640	110553	110067	110048	110005	110552	110422	110540	110011	111267	110576	110550	109950
16384	512	111130	110612	110446	110458	111010	110489	110540	111213	110880	110627	110394	110641	111042	110765	110629	110915	110295	110239	110726	110110
16384	1024	110736	111082	111005	110925	110934	111238	111099	111195	110791	110779	111388	111082	110468	111004	110973	111180	110724	110195	111236	111063
16384	2048	111105	110936	111958	111210	111311	111013	111269	111339	111223	111318	111134	112189	111994	111384	111181	111382	112118	112057	111761	110989
16384	4096	111409	111621	111305	111635	111908	111610	111655	111810	111808	111154	111974	112112	112165	111985	111306	112058	111127	112010	111351	111357
16384	8192	112009	112187	112160	112103	112001	112108	112148	112090	111122	112133	112159	112127	112233	112205	112125	112012	112247	112219	112131	111834
16384	16384	111924	112329	111936	111772	112761	112360	112480	112680	111642	111645	112816	112798	111552	112915	111847	112012	112982	111838	111857	112081
16384	32768	112697	112745	112824	112731	112772	113237	112857	112594	112882	112839	112614	112618	112666	112819	112635	112654	111626	111880	112940	111904
16384	65536	112802	112756	112795	112647	112723	112640	112773	112758	112836	112863	112793	112598	112445	112908	112470	113026	112997	112460	112528	112190
32768	2	487493	487087	498046	499448	500994	503203	501484	500999	501610	501929	500884	499343	502227	499847	507648	496659	501971	500580	492395	486149
32768	4	486634	487617	488225	487748	487054	487942	488114	489151	487071	487332	488481	491768	487037	487378	487154	488833	486850	486209	487030	488996
32768	8	487358	486473	488592	487860	487358	487864	486972	489117	489139	487972	489406	486495	488771	488691	487834	487055	486364	491824	489907	489413
32768	16	491317	489415	488242	491497	485382	485313	486468	493688	485507	485717	489808	491491	485254	485502	485913	491884	485359	484775	484483	490586
32768	32	485255	486750	487765	492895	488993	488423	486915	487925	487306	488447	489562	487493	486088	488712	488534	489970	484927	488237	487943	492672
32768	64	488927	488335	488848	486607	488619	485318	487597	486947	487526	485832	485649	487650	487802	485730	488505	493258	486150	485731	490063	488351
32768	128	488589	486375	487833	492619	489872	492087	491865	490999	489785	488857	496850	487910	497298	489584	491122	488843	490125	488884	492916	490466
32768	256	491942	489130	488509	489831	488786	488954	490216	491735	489212	489316	493475	494625	488783	489555	489223	489565	488994	490106	488625	489556
32768	512	489913	489609	489540	488688	486923	489694	489470	493316	489408	487726	488222	487679	488815	488977	488412	488150	489010	488347	488799	487888
32768	1024	489179	489792	490290	489152	489112	489258	489919	491343	492018	492061	490227	491261	490703	489578	489047	490383	490764	491275	490037	490757
32768	2048	492683	491977	492557	491494	491273	489959	490821	492132	492476	492112	497806	492982	492621	493384	494522	492141	493565	492645	492173	492246
32768	4096	494215	493558	493292	493916	493187	493565	493654	493762	499679	493930	493445	493436	494157	493615	492983	492246	491159	493164	497267	491301
32768	8192	492894	493162	494228	492129	491981	492809	492686	494311	493336	493774	493914	492996	493224	492917	497809	490753	490652	490393	491282	490304
32768	16384	491445	492280	490583	493387	490824	491827	491630	492562	491819	490460	491678	490923	490812	491791	498193	491440	492184	491969	491843	492218
32768	32768	490610	512837	511951	517002	509216	517169	510862	512584	511012	513585	514323	510156	508828	513021	507469	515602	513322	510536	511386	511038
32768	65536	509884	513783	521203	512558	511902	510891	512718	494564	497513	498741	497453	495222	496994	496448	494454	497323	500746	497944	504943	494233
