	13867.4	13895.6	13917.8	13931.8	13957	13944	13922.4	13972	13960.4	13974	13906.4	13952.6	13997.8	13929.2	13921.2	13927.4	13924.6	14023.2	13987.6	13933.6
	17497.8	17589	17501.6	17477.6	17588	17424	17747.4	17416	17451	17423	19570.2	17667.2	17569.4	17534.8	17526.4	17438.6	17520.8	17447	17531.4	17522.6
	34081.8	34276	34450	34365	34250	34470	34084	34339.8	34015.4	34457	34062	34270.2	34409.6	34421.8	34021.6	34089	34065.2	34293	34229.6	34065
	321970	329937	330342	328776	326506	327666	330969	329306	334174	333961	331203	334355	336032	334820	335229	334423	344873	352749	346880	345961
	401256	411554	388971	387385	387841	389317	392023	410824	410942	418504	410769	392069	391978	392741	391546	389126	396491	386468	390635	388824
	413597	420503	420089	414238	419474	414885	420562	420758	420465	420930	414199	415149	419812	421300	414343	420568	426843	418924	423489	419961
	762302	781212	779664	775991	767110	778343	774063	777699	829709	821217	786230	775444	771575	772002	780833	771841	780663	771990	774949	773690
	779329	783427	772694	783604	786022	830687	769334	765598	778882	767194	787277	788527	763785	782178	778827	773942	763172	770779	774292	761796
	850661	870000	865346	867294	871508	878335	858524	862102	867879	883962	862295	855989	873250	923923	947605	922110	880860	863711	861034	914763
	1.45165e+06	1.49626e+06	1.46833e+06	1.4619e+06	1.48456e+06	1.60669e+06	1.48893e+06	1.48117e+06	1.48266e+06	1.48838e+06	1.58613e+06	1.48541e+06	1.50181e+06	1.51871e+06	1.48028e+06	1.65225e+06	1.51908e+06	1.49515e+06	1.48479e+06	1.49096e+06
